,N°,Ministère (Client),Code NAF,SIREN,Direction,Date prévisionnelle d'entrée dans le marché,Fournisseur actuel d'électricité,Identification des sites_NOM DU SITE,Identification des sites_ADRESSE,Identification des sites_CODE POSTAL,Identification des sites_VILLE,Identification des sites_SIRET,Identification des sites_RAE,Identification des sites_TYPE DE TARIF_Tarif - Option - Version (TOV),Identification des sites_TENSION DE RACCORDEMENT_Basse tension (BT) ou HTA1 (20 kV),Puissances-souscrite_P,Puissances-souscrite_HPH,Puissances-souscrite_HCH,Puissances-souscrite_HPE,Puissances-souscrite_HCE,Puissances-souscrite_HH(EJP),Puissances-souscrite_P(EJP),Puissances-max_P,Puissances-max_HPH,Puissances-max_HCH,Puissances-max_HPE,Puissances-max_HCE,Puissances-max_HH(EJP),Puissances-max_P(EJP),CA(kWh)_P,CA(kWh)_HPH,CA(kWh)_HCH,CA(kWh)_HPE,CA(kWh)_HCE,CA(kWh)_HH(EJP),CA(kWh)_P(EJP),CA(kWh)_TOTAL,Electricité verte,Référence de la base de données immobilière du site concerné par le point de livraison_N° chorus Re-FX,Evénements de nature à modifier les prévisions de consommation_Pérennité du site (oui/non),Evénements de nature à modifier les prévisions de consommation_Variabilité (oui/non),Evénements de nature à modifier les prévisions de consommation_Ecart en % en + ou en -(ex : + 10 % ou - 5 %),Evénements de nature à modifier les prévisions de consommation_Date et commentaires
129,130,MEDDE-MLETR,8411Z,110068012,DIR MASSIF-CENTRAL,2015-11-01,EDF,DIRMC - TUNNEL DU LIORAN,LIEU DIT AMBLARD,15800,SAINT JACQUES DES BLATS,13000156300019.0,30001750875803,VERT Base A5 MU,HTA 5P (2),266,266.0,266.0,266.0,266.0,,,,,,,,,,9824.0,58718.0,37768.0,111304.0,55835.0,,,273449.0,NON,,OUI,NON,,
130,131,MEDDE-MLETR,8411Z,110068012,DIR MASSIF-CENTRAL,2015-11-01,EDF,DIRMC - TUNNEL DU PAS DE L’ESCALETTE,LIEU DIT PAS DE L’ESCALETTE,34520,SAINT FELIX DE L’HERAS,13000156300019.0,30002430587974,VERT Base A5 CU,HTA 5P (2),380,400.0,400.0,400.0,400.0,,,,,,,,,,13523.0,88686.0,49844.0,176314.0,72182.0,,,400549.0,NON,,OUI,NON,,
131,132,MEDDE-MLETR,8411Z,110068012,DIR MEDITERRANEE,2015-11-01,EDF,DIRMED - TUNNEL UV1 GASTINEAU,TUNNEL UV1 GASTINEAU,83000,TOULON,13000176100068.0,30002531373789,VERT Base A5 CU,HTA 5P (2),1100,1100.0,1100.0,1100.0,1100.0,,,,,,,,,,43910.0,257436.0,201658.0,463248.0,280177.0,,,1246429.0,NON,,OUI,NON,,
132,133,MEDDE-MLETR,8411Z,110068012,DIR MEDITERRANEE,2015-11-01,EDF,DIRMED - TUNNEL UV2 AV CDT MARCHAND,TUNNEL UV2 - AV CDT MARCHAND,83000,TOULON,13000176100068.0,30002531373811,VERT Base A5 CU,HTA 5P (2),1000,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,44681.0,255249.0,206679.0,461667.0,286390.0,,,1254666.0,NON,,OUI,NON,,
133,134,MEDDE-MLETR,8411Z,110068012,DIR NORD,2015-11-01,EDF,DIRN - STATION DE RELEVEMENT,PERIPHERIQUE SUD,59000,LILLE,17590661900010.0,30000110340889,VERT Base A5 MU,HTA 5P (2),225,225.0,260.0,260.0,260.0,,,,,,,,,,8420.0,35694.0,74531.0,19868.0,92869.0,,,231382.0,NON,,OUI,NON,,
134,135,MEDDE-MLETR,8411Z,110068012,DIR NORD,2015-11-01,EDF,DIRN - A21 - POSTE EP - MARAIS RAME 1,A21 - POSTE EP - MARAIS RAME 1,62300,LENS,17590661900010.0,30000130099902,VERT Base A5 MU,HTA 5P (2),444,444.0,444.0,444.0,444.0,,,,,,,,,,15674.0,51082.0,128082.0,18542.0,136369.0,,,349749.0,NON,,OUI,NON,,
135,136,MEDDE-MLETR,8411Z,110068012,DIR NORD,2015-11-01,EDF,DIRN - DISTRICT AMIENS VALENCIENNES,VOIE ALBERT CARRE,62119,DOURGES,13000157100210.0,30000130116470,VERT Base A5 MU,HTA 5P (2),420,420.0,420.0,420.0,420.0,,,,,,,,,,291.0,4962.0,9281.0,7440.0,26434.0,,,48408.0,NON,,OUI,NON,,
136,137,MEDDE-MLETR,8411Z,110068012,DIR NORD-OUEST,2015-11-01,EDF,DIRNO - TUNNEL DE LA GRAND’MARE SUD,6 RUE DE VERDUN,76160,DARNETAL,13000169600033.0,30000210597597,VERT Base A5 CU,HTA 5P (2),300,300.0,300.0,300.0,300.0,300.0,,,,,,,,,,,,21929.0,12205.0,,,34134.0,NON,123326/167485,OUI,NON,,
137,138,MEDDE-MLETR,8411Z,110068012,DIR NORD-OUEST,2015-11-01,EDF,DIRNO - TUNNEL DE LA GRAND’MARE NORD,6 RUE DE VERDUN,76160,DARNETAL,13000169600033.0,30000210597700,VERT Base A5 CU,HTA 5P (2),300,300.0,300.0,300.0,300.0,300.0,,,,,,,,,,,,18550.0,11392.0,,,29942.0,NON,123326/167485,OUI,NON,,
138,139,MEDDE-MLETR,8411Z,110068012,DIR NORD-OUEST,2015-11-01,EDF,DIRNO - PONT FLAUBERT,4 RUE BOURBAKI - QUAI DE FRANCE,76100,ROUEN,13000169600363.0,30000211493994,VERT Base A5 MU,HTA 5P (2),800,800.0,800.0,800.0,800.0,800.0,,,,,,,,,,,,25299.0,24439.0,,,49738.0,NON,175752/385964,OUI,OUI,,"La variabilité de la consommation est difficile à estimer car elle dépend du nombre de levages par an (pont levant) lequel varie d’une année sur l’autre (entre 1 et 5 levages par an). Entre une année sans levage et une année avec 5 levages, la variabilité est de : + 100 %"
139,140,MEDDE-MLETR,8411Z,110068012,DIR SUD-OUEST,2015-11-01,EDF,DIRSO - DSE - TUNNEL DE FOIX,TETE SUD TUNNEL DE FOIX,9000,FOIX,13000167000087.0,30002330830109,VERT Base A5 CU,HTA 5P (2),310,310.0,310.0,310.0,310.0,,,,,,,,,,6686.0,38006.0,29887.0,36934.0,20548.0,,,132061.0,NON,145152/,OUI,OUI,5 %,
140,141,MEDDE-MLETR,8411Z,110068012,DIR SUD-OUEST,2015-11-01,EDF,DIRSO - DSE - TUNNEL DE FOIX,TETE NORD TUNNEL DE FOIX,9000,FOIX,13000167000087.0,30002330830210,VERT Base A5 CU,HTA 5P (2),304,304.0,304.0,304.0,304.0,,,,,,,,,,6773.0,35819.0,28686.0,34209.0,19289.0,,,124776.0,NON,145152/,OUI,OUI,5 %,
141,142,MEDDE-MLETR,8411Z,110068012,DREAL AUVERGNE,2015-11-01,EDF,DREAL AUVERGNE,7 RUE LEO LAGRANGE,63000,CLERMONT FERRAND,13000914500017.0,30001710149479,VERT Base A5 CU,HTA 5P (2),280,280.0,280.0,280.0,280.0,,,,,,,,,,20323.0,103011.0,42427.0,147416.0,49392.0,,,362569.0,NON,143873/164675,OUI,OUI,20 %,
142,143,MEDDE-MLETR,8411Z,110068012,DREAL NORD PAS DE CALAIS,2015-11-01,EDF,DREAL NPC,44 RUE DE TOURNAI,59019,LILLE,13000657000019.0,30000110425269,VERT Base A5 LU,HTA 5P (2),360,360.0,360.0,360.0,360.0,,,,,,,,,,53542.0,265569.0,93907.0,421849.0,123792.0,,,958659.0,OUI,143645/160779,OUI,NON,,
143,144,MEDDE-MLETR,8411Z,110068012,DRIEA ILE DE FRANCE,2015-11-01,EDF,DRIEA-IF,21-23 RUE MIOLLIS,75015,PARIS,10200000700892.0,30000740724813,VERT Base A5 LU,HTA 5P (2),340,340.0,340.0,340.0,340.0,,,,,,,,,,40957.0,220580.0,88089.0,337945.0,117529.0,,,805100.0,OUI,143736/167477,OUI,OUI,+ 10 %,Possibilité de fluctuation en période hivernale avec l’utilisation de chauffage électrique individuel dans les bureaux les plus froids
144,145,MEDDE-MLETR,8411Z,110068012,DRIEA ILE DE FRANCE,2015-11-01,EDF,DRIEA-IF - UTEA94,12-14 RUE DES ARCHIVES,94000,CRETEIL,13001235400382.0,30002230250497,VERT Base A5 MU,HTA 5P (2),225,255.0,255.0,255.0,255.0,,,,,,,,,,23416.0,117210.0,40677.0,176196.0,57697.0,,,415196.0,OUI,113138/193702,OUI,OUI,+ 10 %,Possibilité de fluctuation en période hivernale avec l’utilisation de chauffage électrique individuel dans les bureaux les plus froids
145,146,MEDDE-MLETR,8411Z,110068012,MEDDE-MLETR SG/SPSSI/ATL3.1,2015-11-01,EDF,MEDDE-MLETR - HOTEL DE ROQUELAURE,244 BOULEVARD SAINT-GERMAIN,75007,PARIS,78430879300016.0,30000730695210,VERT Base A5 LU,HTA 5P (2),400,400.0,400.0,400.0,400.0,,,,,,,,,,74072.0,402118.0,211772.0,636687.0,272796.0,,,1597445.0,OUI,,OUI,OUI,+ 10%,Augmentation possible des besoins d’ici 1 an
146,147,MEDDE-MLETR,8411Z,110068012,MEDDE-MLETR SG/SPSSI/ATL3.1,2015-11-01,EDF,MEDDE-MLETR - TOUR PASCAL T2,PLACE DES DEGRES,92800,PUTEAUX,11006701400032.0,30002140729055,VERT Base A5 LU,HTA SDT (2),480,480.0,580.0,580.0,580.0,,,,,,,,,,92450.0,533326.0,418065.0,904770.0,585444.0,,,2534055.0,OUI,,NON,OUI,- 100 %,Abandon des locaux prévue en mars 2017
147,148,MEDDE-MLETR,8411Z,110068012,MEDDE-MLETR SG/SPSSI/ATL3.1,2015-11-01,EDF,MEDDE-MLETR - TOUR SEQUOIA,TOUR SEQUOIA - 1 PLACE CARPEAUX,92800,PUTEAUX,42350749000039.0,30002141292563,VERT Base A5 LU,HTA SDT (2),1000,1200.0,1200.0,1200.0,1200.0,,,,,,,,,,96898.0,665024.0,514029.0,985806.0,623538.0,,,2885295.0,OUI,,OUI,OUI,+30 %,Augmentation des besoins au 01/07/15
148,149,CULTURE,8411Z ,110046018,SG,2015-11-01,EDF,MCC – SERVICES CENTRAUX – BONS ENFANTS,182 RUE SAINT HONORE,75001,PARIS 01,11004601800013.0,30000711551771,VERT Base A5 MU,HTA SDT (2),900,900.0,900.0,900.0,900.0,,,897.0,903.0,674.0,734.0,605.0,,,168556.0,868627.0,386029.0,1153084.0,392908.0,,,2969204.0,NON,IDF1/143862/146721,OUI,NON,,
149,150,CULTURE,8411Z ,110046018,SG,2015-11-01,EDF,MCC – SERVICES CENTRAUX – FORT DE ST CYR,RUE DU FORT DE SAINT CYR,78180,MONTIGNY LE BRETONNEUX,,30002110542390,VERT Base A5 TLU,HTA SDT (2),500,500.0,500.0,500.0,500.0,,,645.0,768.0,676.0,765.0,685.0,,,150974.0,852773.0,718404.0,1183200.0,847787.0,,,3753138.0,NON,IDF1/108614/208043,OUI,NON,,
150,151,CULTURE,8411Z ,110046018,SG,2015-11-01,EDF,MCC - SERVICES CENTRAUX – 3 RUE DE VALOIS,7 RUE DE VALOIS,75001,PARIS 01,11004601800013.0,30000710531749,VERT Base A5 TLU,HTA 5P (2),402,418.0,418.0,418.0,418.0,,,232.0,245.0,164.0,226.0,148.0,,,52946.0,294215.0,184662.0,375289.0,191487.0,,,1098599.0,NON,IDF1/127685/378372,OUI,NON,,
151,152,CULTURE,8411Z ,110046018,DGP,2015-11-01,EDF,SCN ARCHIVES  NATIONALES 1-9B-2869,2 RUE DES ARCHIVES,77300,FONTAINEBLEAU,16004604100028.0,30002210328092,VERT Base A5 LU,HTA 5P (2),1100,1100.0,1100.0,1100.0,1100.0,,,957.0,1049.0,1017.0,710.0,943.0,,,153370.0,794534.0,869325.0,589901.0,341285.0,,,2748415.0,NON,?,OUI,OUI,-0.7,fermeture potentielle de 2 bâtiments. 2015 sera à moins 70%
152,153,CULTURE,8411Z ,110046018,DGP,2015-11-01,EDF,SCN ARCHIVES NATIONALES 1-99-1076,60 RUE DES FRANCS BOURGEOIS,75003,PARIS 03,16004604100010.0,30000710146219,VERT Base A5 LU,HTA 5P (2),590,590.0,590.0,590.0,590.0,,,386.0,393.0,177.0,361.0,190.0,,,67130.0,395058.0,167765.0,584646.0,216234.0,,,1430833.0,NON,?,OUI,NON,,
153,154,CULTURE,8411Z ,110046018,DGP,2015-11-01,EDF,SCN ARCHIVES NATIONALES 1-BJ9BHX,AVENUE EMILE ZOLA,93380,PIERREFITTE SUR SEINE,11004601800013.0,50058465983280,VERT Base A5 MU,HTA SDT (2),760,1200.0,886.0,1200.0,760.0,,,854.0,817.0,635.0,2164.0,1512.0,,,192430.0,1074755.0,821038.0,1880818.0,1128877.0,,,5097918.0,NON,?,OUI,NON,,
154,155,CULTURE,8411Z ,110046018,DGP,2015-11-01,EDF,SCN MUSEE NATIONAL DE PREHISTOIRE,7 BP,24620,LES EYZIES DE TAYAC SIREUIL,16000029500016.0,30001620504865,VERT Base A5 MU,HTA 5P (2),378,378.0,378.0,378.0,378.0,,,277.0,277.0,230.0,253.0,177.0,,,48042.0,236566.0,206597.0,281602.0,180264.0,,,953071.0,NON,1000107066,OUI,NON,,
155,156,CULTURE,8411Z,110046018,DRAC MIDI-PYRENEES,2015-11-01,EDF,DRAC MIDI-PYRENEES,32 RUE DE LA DALBADE,31000,TOULOUSE,,30002311742665,TARIF VERT BASE LU 430 KVA,HTA,418,418.0,440.0,440.0,440.0,,,,,,,,,,,,,,,,,,NON,126053/223409,OUI,NON,,
156,157,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,RECTORAT BORDEAUX MERIADECK,114 RUE GEORGES BONNAC,33000,BORDEAUX,17330430400012.0,30001612459410,VERT Base A5 MU,HTA SDT (2),300,300.0,300.0,300.0,300.0,,,,,,,,,,60416.00000000001,309828.00000000006,228849.00000000003,289617.0,176730.0,,,1065440.0,NON,,OUI,NON,,
157,158,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,EDUCATION NATIONALE,78 RUE REGNAULT,75013,PARIS 13,11004301500012.0,30000731578110,VERT Base A5 MU,HTA 5P (2),900,900.0,900.0,900.0,900.0,,,,,,,,,,49769.00000000001,265468.0,112897.0,445950.0,193349.00000000003,,,1067433.0,NON,1-4TZ3NT,OUI,NON,,
158,159,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,RECTORAT VERSAILLES SERV INTEN,3 BOULEVARD DE LESSEPS,78000,VERSAILLES,17780430900199.0,30002114086804,VERT Base A5 MU,HTA 5P (2),600,600.0,600.0,600.0,600.0,,,,,,,,,,81773.00000000001,431327.0,271705.00000000006,588936.0,328242.0,,,1701983.0000000002,NON,111452,OUI,NON,,
159,160,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,RECTORAT DE ROUEN,25 RUE DE FONTENELLE,76000,ROUEN,17760430300012.0,30000210691321,VERT Base A5 MU,HTA SDT (2),330,330.0,330.0,330.0,330.0,,,,,,,,,,49761.0,276377.0,123910.0,411213.0,164552.00000000003,,,1025813.0000000001,NON,HNOR/123131/167800,OUI,NON,,
160,161,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,MAISON DES EXAMENS ARCUEIL,7 RUE ERNEST RENAN,94110,ARCUEIL,17750430500091.0,30002130027724,VERT Base A5 MU,HTA 5P (2),428,428.0,428.0,428.0,428.0,,,,,,,,,,66175.0,348453.00000000006,172172.0,585161.0,226821.0,,,1398782.0000000002,NON,192898 et 189413,OUI,NON,,
161,162,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,ACADEMIE DE PARIS,94 AVENUE GAMBETTA,75020,PARIS 20,17750430500133.0,30000720733464,VERT Base A5 LU,HTA SDT (2),550,550.0,550.0,550.0,550.0,,,,,,,,,,94442.0,519015.0,302041.0,777994.0,401911.0,,,2095403.0000000002,NON,,OUI,NON,,
162,163,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,MINISTERE EDUCATION NATIONALE,61 RUE DUTOT,75015,PARIS 15,11004301500012.0,30000740492728,VERT Base A5 LU,,400,400.0,400.0,400.0,400.0,,,,,,,,,,74762.0,395200.0,226761.00000000003,589481.0,295823.00000000006,,,1582027.0,NON,1-AP-3875,OUI,NON,,
163,164,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,EDUCATION NATIONALE,99 RUE DE GRENELLE,75007,PARIS 07,11004301500012.0,30000731156801,VERT Base A5 LU,HTA 5P (2),430,430.0,430.0,430.0,430.0,,,,,,,,,,56416.00000000001,298844.0,132468.00000000003,392819.0,142170.00000000003,,,1022717.0000000001,NON,1-BZ-3215,OUI,NON,,
164,165,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,RECTORAT ACADEMIE DE DIJON,RUE DU GENERAL DELABORDE,21000,DIJON,17210430900155.0,50059334290607,VERT Base A5 MU,HTA 5P (2),550,550.0,550.0,550.0,550.0,,,,,,,,,,60896.0,340091.0,236301.00000000003,552901.0000000001,334600.0,,,1524789.0,NON,136027,OUI,NON,"1,31% +",2015-04-30 00:00:00
165,166,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,EDUCATION NATIONALE,10 RUE DU DOCTEUR BLANCHE,75016,PARIS 16,10260000400026.0,30000740164799,VERT Base A5 MU,HTA 5P (2),240,260.0,260.0,260.0,260.0,,,,,,,,,,32566.000000000004,178888.0,105818.00000000001,226850.0,111713.00000000001,,,655835.0,NON,,OUI,NON,,
166,167,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,MIN EDU NTLE RECHERCHE ET TECHNOLOGIE,21 RUE DESCARTES,75005,PARIS 05,11004301500012.0,30000730148145,VERT Base A5 LU,HTA SDT (2),650,650.0,650.0,650.0,650.0,,,,,,,,,,108782.00000000001,579167.0,290797.0,962512.0,436516.0,,,2377774.0,NON,,OUI,NON,,
167,168,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,EDUCATION NLE DIV SCES MATERIE,107 RUE DE GRENELLE,75007,PARIS 07,11004301500012.0,30000730177051,VERT Base A5 MU,HTA 5P (2),300,300.0,300.0,300.0,300.0,,,,,,,,,,52175.00000000001,278719.0,77886.00000000001,356385.0,98708.0,,,863873.0,NON,1-CN-783,OUI,NON,,
168,169,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,EDUCATION NLE DIV SCES MATERIE,110 RUE DE GRENELLE,75007,PARIS 07,11004301500012.0,30000730176150,VERT Base A5 LU,HTA 5P (2),430,430.0,430.0,430.0,430.0,,,,,,,,,,53410.00000000001,277273.0,140252.0,427884.0,186117.00000000003,,,1084936.0000000002,NON,1-DV-4769,OUI,NON,,
169,170,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,CHANCELLERIE DES UNIVERSITES SERVICE GESTION EXPLOITATION CAMPUS SCIENTIFIQUE RANGUEIL,118 ROUTE DE NARBONNE,31400,TOULOUSE,18310009800023.0,30002310878977,VERT Base A8 LU,HTA SDT (2),7900,7900.0,7900.0,7900.0,7900.0,,,,,,,,,,10096219.0,3893012.0,6424646.000000001,3974409.0,2735313.0,,,39697073.00000001,NON,,OUI,NON,,
170,171,EDUCATION ,8411Z,110043015,,2015-11-01,EDF,ENSUP - RECTORAT DE L ACADEMIE DE BX,5 RUE JOSEPH DE CARAYON LATOUR,33000,BORDEAUX,17330430400012.0,30001610238012,VERT Base A5 MU,HTA SDT (2),400,400.0,400.0,400.0,400.0,,,,,,,,,,51075.0,304576.0,229799.0,352762.0,194163.0,,,1132375.0,NON,,OUI,NON,,
